RegionID,RegionName,StateName,Date,Value
394377.0,Bellefontaine,OH,2023-05-31,162.0
394449.0,Celina,OH,2023-05-31,53.0
395230.0,Wilmington,OH,2023-05-31,152.0
394424.0,Bucyrus,OH,2023-05-31,99.0
395178.0,Urbana,OH,2023-05-31,74.0
394434.0,Cambridge,OH,2023-05-31,96.0
394526.0,Defiance,OH,2023-05-31,130.0
394506.0,Coshocton,OH,2023-05-31,105.0
753892.0,Jackson,OH,2023-05-31,150.0
395206.0,Washington Court House,OH,2023-05-31,54.0
395185.0,Van Wert,OH,2023-05-31,76.0
394775.0,Las Vegas,NV,2023-05-31,8605.0
395019.0,Reno,NV,2023-05-31,1397.0
394592.0,Fernley,NV,2023-05-31,246.0
394444.0,Carson City,NV,2023-05-31,149.0
394343.0,Athens,OH,2023-05-31,142.0
394566.0,Elko,NV,2023-05-31,166.0
394827.0,Marion,OH,2023-05-31,111.0
394593.0,Findlay,OH,2023-05-31,199.0
394758.0,La Grande,OR,2023-05-31,119.0
395004.0,Prineville,OR,2023-05-31,151.0
394687.0,Hood River,OR,2023-05-31,60.0
394418.0,Brookings,OR,2023-05-31,147.0
394466.0,Cincinnati,OH,2023-05-31,3797.0
394492.0,Columbus,OH,2023-05-31,3547.0
394475.0,Cleveland,OH,2023-05-31,4663.0
845158.0,Dayton,OH,2023-05-31,1606.0
394304.0,Akron,OH,2023-05-31,1427.0
395160.0,Toledo,OH,2023-05-31,1264.0
395245.0,Youngstown,OH,2023-05-31,1087.0
394439.0,Canton,OH,2023-05-31,761.0
394697.0,Huntington,OH,2023-05-31,753.0
395221.0,Wheeling,OH,2023-05-31,344.0
395117.0,Springfield,OH,2023-05-31,224.0
394824.0,Mansfield,OH,2023-05-31,186.0
395217.0,Weirton,OH,2023-05-31,433.0
395237.0,Wooster,OH,2023-05-31,177.0
394794.0,Lima,OH,2023-05-31,215.0
753915.0,Salem,OH,2023-05-31,198.0
394340.0,Ashtabula,OH,2023-05-31,221.0
394911.0,New Philadelphia,OH,2023-05-31,185.0
395248.0,Zanesville,OH,2023-05-31,186.0
394465.0,Chillicothe,OH,2023-05-31,106.0
395062.0,Sandusky,OH,2023-05-31,166.0
394999.0,Portsmouth,OH,2023-05-31,213.0
395091.0,Shelbyville,TN,2023-05-31,171.0
394954.0,Pahrump,NV,2023-05-31,398.0
394584.0,Fallon,NV,2023-05-31,67.0
394331.0,Angola,IN,2023-05-31,94.0
395207.0,Washington,IN,2023-05-31,71.0
394613.0,Frankfort,IN,2023-05-31,77.0
394815.0,Madison,IN,2023-05-31,82.0
395196.0,Wabash,IN,2023-05-31,61.0
845161.0,Bluffton,IN,2023-05-31,55.0
394921.0,North Vernon,IN,2023-05-31,41.0
394649.0,Greensburg,IN,2023-05-31,59.0
845170.0,Scottsburg,IN,2023-05-31,37.0
394494.0,Connersville,IN,2023-05-31,65.0
